Date,Adj Close
,AAPL
2023-01-03,123.33063507080078
2023-01-04,124.60270690917969
2023-01-05,123.28134155273438
2023-01-06,127.81735229492188
2023-01-09,128.33999633789062
2023-01-10,128.91192626953125
2023-01-11,131.63352966308594
2023-01-12,131.5546417236328
2023-01-13,132.8858642578125
2023-01-17,134.04946899414062
2023-01-18,133.32962036132812
2023-01-19,133.38877868652344
2023-01-20,135.95263671875
2023-01-23,139.14759826660156
2023-01-24,140.54782104492188
2023-01-25,139.8871612548828
2023-01-26,141.95799255371094
2023-01-27,143.90052795410156
2023-01-30,141.0113067626953
2023-01-31,142.2833251953125
2023-02-01,143.40750122070312
2023-02-02,148.72256469726562
2023-02-03,152.35137939453125
2023-02-06,149.61988830566406
2023-02-07,152.49928283691406
2023-02-08,149.80723571777344
2023-02-09,148.7718505859375
2023-02-10,149.13726806640625
2023-02-13,151.94204711914062
2023-02-14,151.30010986328125
2023-02-15,153.40370178222656
2023-02-16,151.80377197265625
2023-02-17,150.6581573486328
2023-02-21,146.6386260986328
2023-02-22,147.06332397460938
2023-02-23,147.54722595214844
2023-02-24,144.89059448242188
2023-02-27,146.08558654785156
2023-02-28,145.58192443847656
2023-03-01,143.50794982910156
2023-03-02,144.1005096435547
2023-03-03,149.156982421875
2023-03-06,151.9222869873047
2023-03-07,149.71995544433594
2023-03-08,150.97418212890625
2023-03-09,148.72247314453125
2023-03-10,146.65838623046875
2023-03-13,148.6039581298828
2023-03-14,150.69766235351562
2023-03-15,151.0926971435547
2023-03-16,153.917236328125
2023-03-17,153.0777587890625
2023-03-20,155.44801330566406
2023-03-21,157.3046875
2023-03-22,155.87269592285156
2023-03-23,156.95904541015625
2023-03-24,158.2626495361328
2023-03-27,156.31712341308594
2023-03-28,155.69491577148438
2023-03-29,158.77621459960938
2023-03-30,160.3465118408203
2023-03-31,162.85501098632812
2023-04-03,164.10926818847656
2023-04-04,163.57594299316406
2023-04-05,161.72915649414062
2023-04-06,162.6179962158203
2023-04-10,160.0205841064453
2023-04-11,158.80584716796875
2023-04-12,158.1145477294922
2023-04-13,163.50682067871094
2023-04-14,163.1611785888672
2023-04-17,163.18089294433594
2023-04-18,164.405517578125
2023-04-19,165.55117797851562
2023-04-20,164.58328247070312
2023-04-21,162.9735107421875
2023-04-24,163.27969360351562
2023-04-25,161.73902893066406
2023-04-26,161.72915649414062
2023-04-27,166.32147216796875
2023-04-28,167.57569885253906
2023-05-01,167.48683166503906
2023-05-02,166.44985961914062
2023-05-03,165.3733673095703
2023-05-04,163.7339630126953
2023-05-05,171.41748046875
2023-05-08,171.34835815429688
2023-05-09,169.63983154296875
2023-05-10,171.4075927734375
2023-05-11,171.59524536132812
2023-05-12,170.66563415527344
2023-05-15,170.171142578125
2023-05-16,170.171142578125
2023-05-17,170.78431701660156
