Date,Adj Close
,META
2023-01-03,123.9757308959961
2023-01-04,126.5896224975586
2023-01-05,126.16224670410156
2023-01-06,129.223388671875
2023-01-09,128.67674255371094
2023-01-10,132.1751708984375
2023-01-11,132.07579040527344
2023-01-12,135.8723907470703
2023-01-13,136.14071655273438
2023-01-17,134.5306396484375
2023-01-18,132.20498657226562
2023-01-19,135.3158416748047
2023-01-20,138.5160675048828
2023-01-23,142.39219665527344
2023-01-24,142.2629852294922
2023-01-25,140.63304138183594
2023-01-26,146.39752197265625
2023-01-27,150.81028747558594
2023-01-30,146.1589813232422
2023-01-31,148.05728149414062
2023-02-01,152.1818389892578
2023-02-02,187.6134033203125
2023-02-03,185.38714599609375
2023-02-06,184.9199981689453
2023-02-07,190.44595336914062
2023-02-08,182.30612182617188
2023-02-09,176.8299102783203
2023-02-10,173.08297729492188
2023-02-13,178.33062744140625
2023-02-14,178.38034057617188
2023-02-15,176.0745391845703
2023-02-16,171.3834686279297
2023-02-17,171.82077026367188
2023-02-21,171.0256805419922
2023-02-22,170.07154846191406
2023-02-23,170.9859161376953
2023-02-24,169.34603881835938
2023-02-27,168.50120544433594
2023-02-28,173.8681640625
2023-03-01,172.3574676513672
2023-03-02,173.4606475830078
2023-03-03,184.114990234375
2023-03-06,183.7671356201172
2023-03-07,183.3795166015625
2023-03-08,183.836669921875
2023-03-09,180.5767822265625
2023-03-10,178.41015625
2023-03-13,179.79164123535156
2023-03-14,192.8312530517578
2023-03-15,196.53839111328125
2023-03-16,203.67440795898438
2023-03-17,194.41151428222656
2023-03-20,196.5980224609375
2023-03-21,200.92137145996094
2023-03-22,198.58578491210938
2023-03-23,203.02838134765625
2023-03-24,204.74778747558594
2023-03-27,201.59718322753906
2023-03-28,199.45045471191406
2023-03-29,204.0918426513672
2023-03-30,206.56658935546875
2023-03-31,210.64146423339844
2023-04-03,211.76454162597656
2023-04-04,213.40443420410156
2023-04-05,210.1842803955078
2023-04-06,214.77598571777344
2023-04-10,213.43423461914062
2023-04-11,212.53977966308594
